0.00048828125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 70.97301483154297, 'RMSE_adversarial': 0.016198908910155296, 'RMSE_pred': 33.69892120361328, 'L0': tensor(0.2987)}
0.000244140625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 61.152915954589844, 'RMSE_adversarial': 0.012783623300492764, 'RMSE_pred': 37.800716400146484, 'L0': tensor(3.0649)}
0.000244140625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 67.9355239868164, 'RMSE_adversarial': 0.005039487965404987, 'RMSE_pred': 32.28667068481445, 'L0': tensor(1.8961)}
0.000244140625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 71.79808807373047, 'RMSE_adversarial': 0.001758488011546433, 'RMSE_pred': 31.706220626831055, 'L0': tensor(0.5065)}
0.000244140625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.4269790649414, 'RMSE_adversarial': 0.0010038679465651512, 'RMSE_pred': 31.94129753112793, 'L0': tensor(0.2987)}
0.000244140625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.909423828125, 'RMSE_adversarial': 0.0001660701964283362, 'RMSE_pred': 32.46380615234375, 'L0': tensor(0.0130)}
0.000244140625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.92792510986328, 'RMSE_adversarial': 0.0, 'RMSE_pred': 32.49467086791992, 'L0': tensor(0.)}
0.000244140625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.92792510986328, 'RMSE_adversarial': 0.0, 'RMSE_pred': 32.49467086791992, 'L0': tensor(0.)}
0.000244140625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.92493438720703, 'RMSE_adversarial': 7.911903958301991e-05, 'RMSE_pred': 32.489620208740234, 'L0': tensor(0.0130)}
0.000244140625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.92559051513672, 'RMSE_adversarial': 7.81547132646665e-05, 'RMSE_pred': 32.49073791503906, 'L0': tensor(0.0130)}
0.0001220703125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 71.57123565673828, 'RMSE_adversarial': 0.003983305301517248, 'RMSE_pred': 32.38410186767578, 'L0': tensor(0.2987)}
0.0001220703125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.87907409667969, 'RMSE_adversarial': 0.0004126867279410362, 'RMSE_pred': 32.41489028930664, 'L0': tensor(0.0130)}
0.0001220703125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.92792510986328, 'RMSE_adversarial': 0.0, 'RMSE_pred': 32.49467086791992, 'L0': tensor(0.)}
0.0001220703125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.92792510986328, 'RMSE_adversarial': 0.0, 'RMSE_pred': 32.49467086791992, 'L0': tensor(0.)}
0.0001220703125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.92792510986328, 'RMSE_adversarial': 0.0, 'RMSE_pred': 32.49467086791992, 'L0': tensor(0.)}
0.0001220703125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.92792510986328, 'RMSE_adversarial': 0.0, 'RMSE_pred': 32.49467086791992, 'L0': tensor(0.)}
0.0001220703125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.92792510986328, 'RMSE_adversarial': 0.0, 'RMSE_pred': 32.49467086791992, 'L0': tensor(0.)}
0.0001220703125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.92591094970703, 'RMSE_adversarial': 7.783288310747594e-05, 'RMSE_pred': 32.491268157958984, 'L0': tensor(0.0130)}
0.0001220703125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 72.92623138427734, 'RMSE_adversarial': 7.759613072266802e-05, 'RMSE_pred': 32.49181365966797, 'L0': tensor(0.0130)}
